Segment Info
Segment Name,91
Recording Name,记录001
Subject Name,被试001
Start Time(s),181.2122796
End Time(s),183.2255537

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Fixation,9,1.628,0.113,0.403,0.180888888888889
2,Saccades,8,0.385,0.033,0.063,0.048125

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,181.212,181.325,0.113
2,Saccades,181.325,181.369,0.044
3,Fixation,181.369,181.53,0.161
4,Saccades,181.53,181.567,0.037
5,Fixation,181.567,181.752,0.185
6,Saccades,181.752,181.792,0.04
7,Fixation,181.792,182.195,0.403
8,Saccades,182.195,182.257,0.062
9,Fixation,182.257,182.384,0.127
10,Saccades,182.384,182.417,0.033
11,Fixation,182.417,182.602,0.185
12,Saccades,182.602,182.665,0.063
13,Fixation,182.665,182.809,0.144
14,Saccades,182.809,182.867,0.058
15,Fixation,182.867,183.054,0.187
16,Saccades,183.054,183.102,0.048
17,Fixation,183.102,183.225,0.123
