Segment Info
Segment Name,393
Recording Name,记录002
Subject Name,被试002
Start Time(s),988.1821097
End Time(s),990.6866679

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,4,0.026,0.001,0.021,0.0065
2,Fixation,7,2.181,0.009,0.88,0.311571428571429
3,Saccades,10,0.297,0.003,0.065,0.0297

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,988.182,988.284,0.102
2,Saccades,988.284,988.349,0.065
3,Null,988.349,988.37,0.021
4,Saccades,988.37,988.374,0.004
5,Fixation,988.374,988.445,0.071
6,Saccades,988.445,988.507,0.062
7,Null,988.507,988.509,0.002
8,Saccades,988.509,988.53,0.021
9,Null,988.53,988.532,0.002
10,Saccades,988.532,988.535,0.003
11,Fixation,988.535,988.737,0.202
12,Saccades,988.737,988.769,0.032
13,Null,988.769,988.77,0.001
14,Saccades,988.77,988.774,0.004
15,Fixation,988.774,989.654,0.88
16,Saccades,989.654,989.677,0.023
17,Fixation,989.677,990.195,0.518
18,Saccades,990.195,990.22,0.025
19,Fixation,990.22,990.619,0.399
20,Saccades,990.619,990.677,0.058
21,Fixation,990.677,990.686,0.009
