Segment Info
Segment Name,13
Recording Name,记录001
Subject Name,被试001
Start Time(s),32.6308792
End Time(s),35.1312893

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,4,0.037,0.003,0.014,0.00925
2,Blink,1,0.16,0.16,0.16,0.16
3,Fixation,7,2.033,0.13,0.455,0.290428571428571
4,Saccades,9,0.271,0.002,0.068,0.0301111111111111

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,32.63,32.98,0.35
2,Saccades,32.98,33.004,0.024
3,Fixation,33.004,33.21,0.206
4,Saccades,33.21,33.264,0.054
5,Fixation,33.264,33.439,0.175
6,Saccades,33.439,33.507,0.068
7,Fixation,33.507,33.792,0.285
8,Saccades,33.792,33.842,0.05
9,Fixation,33.842,33.972,0.13
10,Saccades,33.972,34.025,0.053
11,Fixation,34.025,34.48,0.455
12,Saccades,34.48,34.492,0.012
13,Null,34.492,34.502,0.01
14,Blink,34.502,34.662,0.16
15,Null,34.662,34.672,0.01
16,Saccades,34.672,34.674,0.002
17,Null,34.674,34.677,0.003
18,Saccades,34.677,34.68,0.003
19,Null,34.68,34.694,0.014
20,Saccades,34.694,34.699,0.005
21,Fixation,34.699,35.131,0.432
