Segment Info
Segment Name,415
Recording Name,记录002
Subject Name,被试002
Start Time(s),1043.4915378
End Time(s),1045.9987363

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,1,0.024,0.024,0.024,0.024
2,Fixation,8,2.221,0.137,0.522,0.277625
3,Saccades,8,0.262,0.003,0.063,0.03275

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,1043.491,1043.829,0.338
2,Saccades,1043.829,1043.859,0.03
3,Fixation,1043.859,1044.007,0.148
4,Saccades,1044.007,1044.05,0.043
5,Fixation,1044.05,1044.572,0.522
6,Saccades,1044.572,1044.592,0.02
7,Fixation,1044.592,1044.872,0.28
8,Saccades,1044.872,1044.89,0.018
9,Fixation,1044.89,1045.027,0.137
10,Saccades,1045.027,1045.09,0.063
11,Null,1045.09,1045.114,0.024
12,Saccades,1045.114,1045.117,0.003
13,Fixation,1045.117,1045.362,0.245
14,Saccades,1045.362,1045.407,0.045
15,Fixation,1045.407,1045.652,0.245
16,Saccades,1045.652,1045.692,0.04
17,Fixation,1045.692,1045.998,0.306
