Segment Info
Segment Name,97
Recording Name,记录001
Subject Name,被试001
Start Time(s),193.2889867
End Time(s),195.2951413

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,3,0.035,0.01,0.015,0.0116666666666667
2,Blink,1,0.129,0.129,0.129,0.129
3,Fixation,6,1.54,0.012,0.472,0.256666666666667
4,Saccades,7,0.303,0.002,0.076,0.0432857142857143

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,193.288,193.3,0.012
2,Saccades,193.3,193.344,0.044
3,Fixation,193.344,193.689,0.345
4,Saccades,193.689,193.742,0.053
5,Fixation,193.742,194.214,0.472
6,Saccades,194.214,194.279,0.065
7,Fixation,194.279,194.515,0.236
8,Saccades,194.515,194.54,0.025
9,Null,194.54,194.55,0.01
10,Blink,194.55,194.679,0.129
11,Null,194.679,194.689,0.01
12,Saccades,194.689,194.727,0.038
13,Null,194.727,194.742,0.015
14,Saccades,194.742,194.744,0.002
15,Fixation,194.744,195.059,0.315
16,Saccades,195.059,195.135,0.076
17,Fixation,195.135,195.295,0.16
