Segment Info
Segment Name,27
Recording Name,记录002
Subject Name,被试002
Start Time(s),67.8402625
End Time(s),70.3461249

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,3,0.009,0.001,0.006,0.003
2,Fixation,6,2.183,0.146,0.715,0.363833333333333
3,Saccades,8,0.314,0.003,0.07,0.03925

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,67.84,68.19,0.35
2,Saccades,68.19,68.231,0.041
3,Fixation,68.231,68.946,0.715
4,Saccades,68.946,68.985,0.039
5,Fixation,68.985,69.14,0.155
6,Saccades,69.14,69.21,0.07
7,Null,69.21,69.211,0.001
8,Saccades,69.211,69.233,0.022
9,Null,69.233,69.235,0.002
10,Saccades,69.235,69.238,0.003
11,Fixation,69.238,69.908,0.67
12,Saccades,69.908,69.971,0.063
13,Fixation,69.971,70.118,0.147
14,Saccades,70.118,70.18,0.062
15,Null,70.18,70.186,0.006
16,Saccades,70.186,70.2,0.014
17,Fixation,70.2,70.346,0.146
