Segment Info
Segment Name,9
Recording Name,记录002
Subject Name,被试002
Start Time(s),22.5351753
End Time(s),25.0269892

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,1,0.003,0.003,0.003,0.003
2,Fixation,10,2.05,0.03,0.317,0.205
3,Saccades,10,0.438,0.017,0.068,0.0438

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,22.535,22.565,0.03
2,Saccades,22.565,22.626,0.061
3,Fixation,22.626,22.86,0.234
4,Saccades,22.86,22.906,0.046
5,Fixation,22.906,23.223,0.317
6,Saccades,23.223,23.24,0.017
7,Fixation,23.24,23.47,0.23
8,Saccades,23.47,23.538,0.068
9,Null,23.538,23.541,0.003
10,Saccades,23.541,23.558,0.017
11,Fixation,23.558,23.766,0.208
12,Saccades,23.766,23.813,0.047
13,Fixation,23.813,23.97,0.157
14,Saccades,23.97,24.003,0.033
15,Fixation,24.003,24.303,0.3
16,Saccades,24.303,24.358,0.055
17,Fixation,24.358,24.52,0.162
18,Saccades,24.52,24.558,0.038
19,Fixation,24.558,24.79,0.232
20,Saccades,24.79,24.846,0.056
21,Fixation,24.846,25.026,0.18
