Segment Info
Segment Name,92
Recording Name,记录002
Subject Name,被试002
Start Time(s),231.2405568
End Time(s),233.7320188

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,1,0.002,0.002,0.002,0.002
2,Fixation,7,2.104,0.031,0.623,0.300571428571429
3,Saccades,8,0.386,0.002,0.11,0.04825

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,231.24,231.271,0.031
2,Saccades,231.271,231.381,0.11
3,Null,231.381,231.383,0.002
4,Saccades,231.383,231.385,0.002
5,Fixation,231.385,231.6,0.215
6,Saccades,231.6,231.638,0.038
7,Fixation,231.638,231.861,0.223
8,Saccades,231.861,231.893,0.032
9,Fixation,231.893,232.516,0.623
10,Saccades,232.516,232.566,0.05
11,Fixation,232.566,232.891,0.325
12,Saccades,232.891,232.935,0.044
13,Fixation,232.935,233.23,0.295
14,Saccades,233.23,233.311,0.081
15,Fixation,233.311,233.703,0.392
16,Saccades,233.703,233.732,0.029
