Segment Info
Segment Name,71
Recording Name,记录001
Subject Name,被试001
Start Time(s),178.2555242
End Time(s),180.7554071

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,4,0.03,0.005,0.01,0.0075
2,Blink,1,0.124,0.124,0.124,0.124
3,Fixation,8,2.117,0.024,0.535,0.264625
4,Saccades,10,0.229,0.001,0.064,0.0229

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,178.255,178.426,0.171
2,Saccades,178.426,178.451,0.025
3,Fixation,178.451,178.825,0.374
4,Saccades,178.825,178.861,0.036
5,Fixation,178.861,179.396,0.535
6,Saccades,179.396,179.46,0.064
7,Fixation,179.46,179.656,0.196
8,Saccades,179.656,179.683,0.027
9,Fixation,179.683,179.918,0.235
10,Saccades,179.918,179.941,0.023
11,Fixation,179.941,180.068,0.127
12,Saccades,180.068,180.081,0.013
13,Null,180.081,180.086,0.005
14,Saccades,180.086,180.091,0.005
15,Null,180.091,180.101,0.01
16,Blink,180.101,180.225,0.124
17,Null,180.225,180.235,0.01
18,Saccades,180.235,180.236,0.001
19,Null,180.236,180.241,0.005
20,Saccades,180.241,180.251,0.01
21,Fixation,180.251,180.706,0.455
22,Saccades,180.706,180.731,0.025
23,Fixation,180.731,180.755,0.024
