Segment Info
Segment Name,135
Recording Name,记录001
Subject Name,被试001
Start Time(s),339.2087433
End Time(s),341.7081782

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,1,0.04,0.04,0.04,0.04
2,Fixation,11,1.995,0.038,0.362,0.181363636363636
3,Saccades,11,0.465,0.008,0.067,0.0422727272727273

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,339.208,339.302,0.094
2,Saccades,339.302,339.342,0.04
3,Fixation,339.342,339.567,0.225
4,Saccades,339.567,339.625,0.058
5,Fixation,339.625,339.825,0.2
6,Saccades,339.825,339.872,0.047
7,Fixation,339.872,339.98,0.108
8,Saccades,339.98,340.01,0.03
9,Fixation,340.01,340.372,0.362
10,Saccades,340.372,340.439,0.067
11,Fixation,340.439,340.677,0.238
12,Saccades,340.677,340.702,0.025
13,Fixation,340.702,340.844,0.142
14,Saccades,340.844,340.899,0.055
15,Null,340.899,340.939,0.04
16,Saccades,340.939,340.97,0.031
17,Fixation,340.97,341.189,0.219
18,Saccades,341.189,341.197,0.008
19,Fixation,341.197,341.304,0.107
20,Saccades,341.304,341.35,0.046
21,Fixation,341.35,341.612,0.262
22,Saccades,341.612,341.67,0.058
23,Fixation,341.67,341.708,0.038
