Segment Info
Segment Name,36
Recording Name,记录001
Subject Name,被试002
Start Time(s),87.9568654
End Time(s),90.4589609

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,2,0.048,0.006,0.042,0.024
2,Fixation,4,2.267,0.268,0.752,0.56675
3,Saccades,5,0.187,0.003,0.059,0.0374

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,87.956,88.455,0.499
2,Saccades,88.455,88.51,0.055
3,Fixation,88.51,89.258,0.748
4,Saccades,89.258,89.317,0.059
5,Null,89.317,89.323,0.006
6,Saccades,89.323,89.335,0.012
7,Fixation,89.335,90.087,0.752
8,Saccades,90.087,90.145,0.058
9,Null,90.145,90.187,0.042
10,Saccades,90.187,90.19,0.003
11,Fixation,90.19,90.458,0.268
