Segment Info
Segment Name,89
Recording Name,记录002
Subject Name,被试002
Start Time(s),223.7209191
End Time(s),226.2193453

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,2,0.05,0.024,0.026,0.025
2,Fixation,8,2.084,0.098,0.595,0.2605
3,Saccades,9,0.365,0.001,0.065,0.0405555555555556

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,223.72,223.945,0.225
2,Saccades,223.945,224.01,0.065
3,Null,224.01,224.034,0.024
4,Saccades,224.034,224.035,0.001
5,Fixation,224.035,224.257,0.222
6,Saccades,224.257,224.307,0.05
7,Fixation,224.307,224.564,0.257
8,Saccades,224.564,224.614,0.05
9,Fixation,224.614,224.747,0.133
10,Saccades,224.747,224.78,0.033
11,Fixation,224.78,224.984,0.204
12,Saccades,224.984,225.044,0.06
13,Null,225.044,225.07,0.026
14,Saccades,225.07,225.072,0.002
15,Fixation,225.072,225.17,0.098
16,Saccades,225.17,225.23,0.06
17,Fixation,225.23,225.58,0.35
18,Saccades,225.58,225.624,0.044
19,Fixation,225.624,226.219,0.595
