Segment Info
Segment Name,10
Recording Name,记录001
Subject Name,被试001
Start Time(s),25.0765452
End Time(s),27.5753192

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Null,2,0.02,0.01,0.01,0.01
2,Blink,1,0.135,0.135,0.135,0.135
3,Fixation,10,1.999,0.107,0.351,0.1999
4,Saccades,11,0.345,0.001,0.058,0.0313636363636364

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Saccades,25.076,25.077,0.001
2,Fixation,25.077,25.29,0.213
3,Saccades,25.29,25.335,0.045
4,Fixation,25.335,25.502,0.167
5,Saccades,25.502,25.547,0.045
6,Fixation,25.547,25.654,0.107
7,Saccades,25.654,25.657,0.003
8,Null,25.657,25.667,0.01
9,Blink,25.667,25.802,0.135
10,Null,25.802,25.812,0.01
11,Saccades,25.812,25.819,0.007
12,Fixation,25.819,26.055,0.236
13,Saccades,26.055,26.082,0.027
14,Fixation,26.082,26.222,0.14
15,Saccades,26.222,26.254,0.032
16,Fixation,26.254,26.579,0.325
17,Saccades,26.579,26.637,0.058
18,Fixation,26.637,26.847,0.21
19,Saccades,26.847,26.872,0.025
20,Fixation,26.872,26.997,0.125
21,Saccades,26.997,27.044,0.047
22,Fixation,27.044,27.395,0.351
23,Saccades,27.395,27.45,0.055
24,Fixation,27.45,27.575,0.125
