Segment Info
Segment Name,163
Recording Name,记录001
Subject Name,被试001
Start Time(s),409.1628754
End Time(s),411.6605181

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Fixation,10,2.013,0.097,0.348,0.2013
2,Saccades,10,0.485,0.015,0.089,0.0485

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Saccades,409.162,409.177,0.015
2,Fixation,409.177,409.35,0.173
3,Saccades,409.35,409.394,0.044
4,Fixation,409.394,409.539,0.145
5,Saccades,409.539,409.577,0.038
6,Fixation,409.577,409.754,0.177
7,Saccades,409.754,409.827,0.073
8,Fixation,409.827,409.924,0.097
9,Saccades,409.924,409.954,0.03
10,Fixation,409.954,410.229,0.275
11,Saccades,410.229,410.285,0.056
12,Fixation,410.285,410.509,0.224
13,Saccades,410.509,410.557,0.048
14,Fixation,410.557,410.705,0.148
15,Saccades,410.705,410.767,0.062
16,Fixation,410.767,411.115,0.348
17,Saccades,411.115,411.204,0.089
18,Fixation,411.204,411.374,0.17
19,Saccades,411.374,411.404,0.03
20,Fixation,411.404,411.66,0.256
