Segment Info
Segment Name,77
Recording Name,记录002
Subject Name,被试002
Start Time(s),193.0527863
End Time(s),195.5475082

Eye State Statistic
Id,Eye State Type,Count(N),Total duration(s),Min duration(s),Max duration(s),Mean duration(s)
1,Fixation,10,2.153,0.088,0.361,0.2153
2,Saccades,9,0.342,0.02,0.05,0.038

Eye State Data
Id,Eye State Type,Start Time(s),End Time(s),Duration(s)
1,Fixation,193.052,193.14,0.088
2,Saccades,193.14,193.163,0.023
3,Fixation,193.163,193.322,0.159
4,Saccades,193.322,193.358,0.036
5,Fixation,193.358,193.515,0.157
6,Saccades,193.515,193.555,0.04
7,Fixation,193.555,193.737,0.182
8,Saccades,193.737,193.783,0.046
9,Fixation,193.783,193.987,0.204
10,Saccades,193.987,194.007,0.02
11,Fixation,194.007,194.312,0.305
12,Saccades,194.312,194.362,0.05
13,Fixation,194.362,194.518,0.156
14,Saccades,194.518,194.567,0.049
15,Fixation,194.567,194.928,0.361
16,Saccades,194.928,194.962,0.034
17,Fixation,194.962,195.163,0.201
18,Saccades,195.163,195.207,0.044
19,Fixation,195.207,195.547,0.34
